Variable,Category,N (%)
Age (years),Mean +- SD,51.0 +- 15.3
,Median (IQR),52 (39-62)
Survival time (days),Mean +- SD,726.2 +- 810.5
,Median (IQR),486 (232-876)
Sex,Male,677 (58.2%)
,Female,486 (41.8%)
Age group,Middle,504 (43.3%)
,Old,354 (30.4%)
,Young,305 (26.2%)
Tumor grade,G4,651 (56.0%)
,G3,264 (22.7%)
,G2,248 (21.3%)
Primary site,Brain_NOS,706 (60.7%)
,Cerebrum,436 (37.5%)
,Other_Specific,21 (1.8%)
Diagnosis era,After_2005,880 (75.7%)
,Before_2005,283 (24.3%)
Prior malignancy,No,1115 (95.9%)
,Yes,48 (4.1%)
Treatment,Standard,1076 (92.5%)
,Single,62 (5.3%)
,Supportive_None,25 (2.1%)
Vital status,Dead,659 (56.7%)
,Alive (censored),504 (43.3%)
