Variable,HR,HR_lower,HR_upper,95% CI,p-value,Significant
Age,1.059,1.052,1.066,1.052 – 1.066,0.0,***
Grade_G2,0.112,0.077,0.164,0.077 – 0.164,0.0,***
Grade_G3,0.442,0.343,0.568,0.343 – 0.568,0.0,***
Grade_G4,6.793,5.4,8.545,5.400 – 8.545,0.0,***
Site_BrainNOS,5.257,4.18,6.612,4.180 – 6.612,0.0,***
Site_Cerebrum,0.191,0.15,0.242,0.150 – 0.242,0.0,***
Era_After2005,0.627,0.523,0.751,0.523 – 0.751,0.0,***
Era_Before2005,1.595,1.332,1.911,1.332 – 1.911,0.0,***
Tx_Single,3.223,2.331,4.458,2.331 – 4.458,0.0,***
Tx_Standard,0.377,0.284,0.5,0.284 – 0.500,0.0,***
Sex,1.222,1.025,1.457,1.025 – 1.457,0.0251,*
Tx_None,1.654,0.986,2.774,0.986 – 2.774,0.0567,ns
Site_Other,0.515,0.244,1.086,0.244 – 1.086,0.0813,ns
Prior_cancer,0.885,0.566,1.384,0.566 – 1.384,0.5919,ns
