Variable,HR,HR_lower,HR_upper,95% CI,p-value,Significant
Age,1.042,1.034,1.049,1.034 – 1.049,0.0,***
Sex,1.237,1.037,1.475,1.037 – 1.475,0.0181,*
Prior_cancer,0.752,0.479,1.18,0.479 – 1.18,0.2144,ns
Grade_G3,2.547,1.718,3.777,1.718 – 3.777,0.0,***
Grade_G4,5.987,3.643,9.84,3.643 – 9.84,0.0,***
Site_Cerebrum,0.783,0.496,1.235,0.496 – 1.235,0.2932,ns
Site_Other,1.003,0.469,2.142,0.469 – 2.142,0.9943,ns
Era_Before2005,1.194,0.986,1.446,0.986 – 1.446,0.0693,ns
Tx_Single,2.188,1.57,3.051,1.57 – 3.051,0.0,***
Tx_None,0.881,0.52,1.493,0.52 – 1.493,0.6372,ns
