learning_rate,max_depth,n_estimators,subsample,cv_mean,cv_std
0.01,2,100,0.6,0.7797,0.0167
0.01,2,100,0.8,0.7797,0.0152
0.01,2,100,1.0,0.7762,0.0165
0.01,2,200,0.6,0.7824,0.0159
0.01,2,200,0.8,0.7837,0.0145
0.01,2,200,1.0,0.7803,0.0164
0.01,2,500,0.6,0.7836,0.0161
0.01,2,500,0.8,0.7834,0.0161
0.01,2,500,1.0,0.781,0.0157
0.01,3,100,0.6,0.781,0.0158
0.01,3,100,0.8,0.7777,0.0164
0.01,3,100,1.0,0.7762,0.0153
0.01,3,200,0.6,0.7814,0.0166
0.01,3,200,0.8,0.7802,0.0164
0.01,3,200,1.0,0.7788,0.0154
0.01,3,500,0.6,0.7838,0.0178
0.01,3,500,0.8,0.7826,0.0176
0.01,3,500,1.0,0.7821,0.0175
0.01,4,100,0.6,0.7795,0.019
0.01,4,100,0.8,0.7786,0.0189
0.01,4,100,1.0,0.7732,0.0187
0.01,4,200,0.6,0.7821,0.0199
0.01,4,200,0.8,0.7813,0.0203
0.01,4,200,1.0,0.7774,0.0198
0.01,4,500,0.6,0.7817,0.0211
0.01,4,500,0.8,0.7817,0.0217
0.01,4,500,1.0,0.7798,0.0228
0.05,2,100,0.6,0.7842,0.0154
0.05,2,100,0.8,0.7822,0.0165
0.05,2,100,1.0,0.7811,0.0156
0.05,2,200,0.6,0.7846,0.0165
0.05,2,200,0.8,0.7844,0.0163
0.05,2,200,1.0,0.7822,0.0162
0.05,2,500,0.6,0.7838,0.0146
0.05,2,500,0.8,0.7829,0.015
0.05,2,500,1.0,0.784,0.0174
0.05,3,100,0.6,0.7836,0.017
0.05,3,100,0.8,0.7824,0.0166
0.05,3,100,1.0,0.7816,0.0173
0.05,3,200,0.6,0.7832,0.0165
0.05,3,200,0.8,0.7814,0.0181
0.05,3,200,1.0,0.7819,0.0188
0.05,3,500,0.6,0.7774,0.0172
0.05,3,500,0.8,0.7775,0.0171
0.05,3,500,1.0,0.7751,0.0189
0.05,4,100,0.6,0.7808,0.0184
0.05,4,100,0.8,0.782,0.0224
0.05,4,100,1.0,0.7803,0.0223
0.05,4,200,0.6,0.7798,0.0195
0.05,4,200,0.8,0.7808,0.0204
0.05,4,200,1.0,0.7764,0.0207
0.05,4,500,0.6,0.7706,0.0208
0.05,4,500,0.8,0.769,0.0228
0.05,4,500,1.0,0.7689,0.0208
0.1,2,100,0.6,0.7847,0.0156
0.1,2,100,0.8,0.783,0.0164
0.1,2,100,1.0,0.7814,0.017
0.1,2,200,0.6,0.7852,0.0155
0.1,2,200,0.8,0.7836,0.0154
0.1,2,200,1.0,0.7838,0.0176
0.1,2,500,0.6,0.7811,0.0166
0.1,2,500,0.8,0.7808,0.015
0.1,2,500,1.0,0.7819,0.0148
0.1,3,100,0.6,0.7803,0.0158
0.1,3,100,0.8,0.7827,0.0168
0.1,3,100,1.0,0.7812,0.0186
0.1,3,200,0.6,0.7784,0.0162
0.1,3,200,0.8,0.7793,0.0177
0.1,3,200,1.0,0.7767,0.0199
0.1,3,500,0.6,0.7698,0.0169
0.1,3,500,0.8,0.7704,0.0198
0.1,3,500,1.0,0.7674,0.0195
0.1,4,100,0.6,0.778,0.0163
0.1,4,100,0.8,0.7787,0.0196
0.1,4,100,1.0,0.7767,0.0215
0.1,4,200,0.6,0.7706,0.0198
0.1,4,200,0.8,0.7723,0.0219
0.1,4,200,1.0,0.7717,0.0227
0.1,4,500,0.6,0.7649,0.0242
0.1,4,500,0.8,0.7634,0.026
0.1,4,500,1.0,0.7601,0.0256
