max_features,min_samples_leaf,n_estimators,n_jobs,cv_mean,cv_std
sqrt,5,100,-1,0.7794,0.0144
sqrt,5,200,-1,0.7797,0.0136
sqrt,5,500,-1,0.7802,0.0141
sqrt,10,100,-1,0.7817,0.0135
sqrt,10,200,-1,0.7802,0.0132
sqrt,10,500,-1,0.7805,0.0136
sqrt,15,100,-1,0.7814,0.0148
sqrt,15,200,-1,0.7793,0.0157
sqrt,15,500,-1,0.7791,0.0151
sqrt,20,100,-1,0.7804,0.0159
sqrt,20,200,-1,0.7805,0.0153
sqrt,20,500,-1,0.7802,0.0146
0.3,5,100,-1,0.782,0.0144
0.3,5,200,-1,0.782,0.015
0.3,5,500,-1,0.7814,0.0144
0.3,10,100,-1,0.7816,0.015
0.3,10,200,-1,0.7826,0.0144
0.3,10,500,-1,0.7818,0.0152
0.3,15,100,-1,0.7817,0.0149
0.3,15,200,-1,0.7823,0.0153
0.3,15,500,-1,0.7824,0.0152
0.3,20,100,-1,0.7815,0.016
0.3,20,200,-1,0.7812,0.0158
0.3,20,500,-1,0.7811,0.0149
0.5,5,100,-1,0.7791,0.0145
0.5,5,200,-1,0.7789,0.0151
0.5,5,500,-1,0.7789,0.0155
0.5,10,100,-1,0.783,0.0143
0.5,10,200,-1,0.7819,0.0146
0.5,10,500,-1,0.7831,0.0147
0.5,15,100,-1,0.7851,0.0154
0.5,15,200,-1,0.7851,0.0156
0.5,15,500,-1,0.784,0.0155
0.5,20,100,-1,0.7836,0.0171
0.5,20,200,-1,0.7835,0.0167
0.5,20,500,-1,0.783,0.0165
